"Timestamp [UTC]";"Position (TOD) X [km]";"Position (TOD) Y [km]";"Position (TOD) Z [km]";"Velocity (TOD) X [m/s]";"Velocity (TOD) Y [m/s]";"Velocity (TOD) Z [m/s]";"Navigation solution epoch UTC";"GPS navigation status";"Number of tracked satellites";"Position dilution of precision";"Position (interpolated) (TOD) X [km]";"Position (interpolated) (TOD) Y [km]";"Position (interpolated) (TOD) Z [km]";"Velocity (interpolated) (TOD) X [m/s]";"Velocity (interpolated) (TOD) Y [m/s]";"Velocity (interpolated) (TOD) Z [m/s]"
"2024-05-15 15:04:16.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"0";"0";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:04:46.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"255";"255";"655.35";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:05:16.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"2";"0";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:05:47.0";"-1127.80016";"1205.81372";"6648.07027";"-1139.16858";"7382.27114";"-1534.69917";"2024-05-15 15:05:47.200";"2";"4";"5.4";"-1128.10271";"1207.77461";"6647.66232";"-1138.79702";"7381.87361";"-1536.88904"
"2024-05-15 15:06:16.8";"-1161.33656";"1426.57066";"6598.33798";"-1096.67618";"7333.47231";"-1780.38542";"2024-05-15 15:06:17.199";"2";"9";"2.7";"-1161.58463";"1428.22972";"6597.93498";"-1096.35031";"7333.07183";"-1782.23665"
"2024-05-15 15:06:46.8";"-1193.5856";"1645.74514";"6541.26026";"-1053.07412";"7276.62229";"-2024.25251";"2024-05-15 15:06:47.200";"2";"8";"2.8";"-1193.82412";"1647.39351";"6540.80148";"-1052.73875";"7276.15969";"-2026.09019"
"2024-05-15 15:07:16.8";"-1224.50827";"1863.09166";"6476.90224";"-1008.27791";"7211.8041";"-2266.3337";"2024-05-15 15:07:17.200";"2";"8";"2.8";"-1224.73695";"1864.72752";"6476.38794";"-1007.93339";"7211.27973";"-2268.15575"
"2024-05-15 15:07:46.8";"-1254.07302";"2078.36892";"6405.32555";"-962.43639";"7138.89095";"-2505.50592";"2024-05-15 15:07:47.200";"2";"6";"3.2";"-1254.29159";"2079.99039";"6404.75624";"-962.08309";"7138.30525";"-2507.31023"
"2024-05-15 15:08:16.8";"-1282.24296";"2291.33783";"6326.61589";"-915.47684";"7057.75584";"-2741.72939";"2024-05-15 15:08:17.200";"2";"6";"3.2";"-1282.45113";"2292.94299";"6325.9921";"-915.11512";"7057.10928";"-2743.51389"
"2024-05-15 15:08:46.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"4";"13.7";"-1309.18374";"2503.33658";"6240.18079";"-866.93745";"6968.06308";"-2977.31031"
"2024-05-15 15:09:16.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"4";"13.4";"-1334.45649";"2710.94299";"6147.39565";"-817.75289";"6871.05214";"-3207.77943"
"2024-05-15 15:09:46.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"3";"13.1";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:10:16.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"3";"12.9";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:10:46.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"0";"12.9";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:11:16.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"0";"12.9";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:11:46.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"0";"12.9";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:12:16.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"0";"12.9";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:12:46.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"0";"12.9";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:13:16.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"2";"12.9";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:13:46.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"2";"12.9";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:14:16.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"2";"12.9";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
"2024-05-15 15:14:46.8";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"2292-04-10 23:47:16.854";"0";"2";"12.9";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647";"21474.83647"
